,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2016,38.593496,1.563846,30.58456,23.270839,3.014739,30.356468,0.220985,0.773142,0.003186,40.24242,37.702089,1.551589,0.22857,66.214247,89.142017,28.120345,23.903217,69.552009,13.267921,0.207006,15.381395,1.899576,44.418425,24.662918,5.781403,60.418944,15.29087,22.699966,2.902463,0.49835,1.648416,18.611313,2.786341,36.044177,37.219891,77.593972,20.94533,1.835876,68.917226,0.0,20.948666,2.516145,35.842291,124.945659,25.399385,0.0,20.940565,5.032883,70.948914,33.73718,43.173275
1,2015,46.583767,1.836509,36.43381,21.424929,2.910416,32.115329,0.617247,0.675138,0.004123,44.051384,37.265852,1.475646,0.39934,80.214453,94.816399,32.865324,25.819712,75.20615,16.451402,0.244069,15.669416,2.282677,58.192144,25.638595,6.763057,65.756043,16.847343,25.141041,3.456739,1.03778,2.164992,20.369897,3.8776,38.287672,38.495026,81.498619,26.508063,2.502952,82.569265,0.0,22.775021,1.850978,34.977989,126.577541,31.161758,0.0,21.870566,5.502223,68.973836,38.535909,45.994607
2,2014,54.263075,1.71509,42.29163,32.032229,3.714184,33.09907,0.859103,0.966857,0.004498,52.678023,45.571517,1.627586,0.70224,95.989607,115.004469,37.853923,29.895103,86.252196,19.828204,0.202011,18.995497,2.820258,58.309389,29.555435,11.004385,73.715784,16.558153,26.106308,7.479006,1.40401,2.902176,20.336386,6.090568,47.359348,37.655932,99.591975,31.732794,3.232315,97.67823,0.0,28.859129,3.120802,40.344668,149.762426,32.485478,0.0,26.184841,7.227721,77.042917,39.37447,46.193839
3,2013,53.257706,1.392983,42.954602,30.888292,3.588513,34.327762,0.72519,1.723872,0.000375,47.698953,40.239415,1.444853,0.748563,96.845955,112.815982,37.969399,30.862942,86.376557,21.536118,0.156171,17.293058,3.985309,62.055387,25.269597,9.231654,76.156314,15.684482,27.656985,6.119734,1.584481,2.44689,24.21118,6.470568,46.620151,37.091309,104.049703,31.718666,3.672646,105.923447,0.0,24.294592,3.232578,37.722841,150.841292,33.54055,0.0,27.34959,7.077691,72.769584,42.912206,49.159197
4,2012,51.554265,1.459087,39.713858,28.020452,4.125493,34.947092,0.877329,1.641711,0.007216,45.606271,41.122131,1.56451,0.487371,91.401867,112.310949,39.876639,29.046819,85.896859,22.551808,0.122453,18.153919,2.269158,58.613436,24.343468,7.7858,72.544539,14.853875,25.734002,4.987911,1.34017,2.416575,24.878203,6.865962,50.48694,38.330834,95.999418,30.884413,2.667934,102.886731,0.0,28.190709,3.357897,39.925166,141.536235,30.408201,0.0,20.904445,4.027398,71.393935,35.237168,46.272307
5,2011,61.388486,1.455117,43.428361,28.90675,5.202889,34.831554,0.574278,1.688647,0.004498,52.193109,59.93169,1.517972,0.737359,99.240013,125.521298,43.701722,32.72363,95.393476,25.497022,0.145364,22.767241,4.056694,65.159483,29.793336,10.155245,77.965106,15.646528,26.942468,5.92032,2.312693,4.683371,26.889746,11.799721,58.991155,37.238226,115.255104,35.72254,3.317247,114.206944,0.0,34.568904,3.031089,45.405055,160.08592,32.686406,0.0,27.132203,5.37751,77.580445,42.231305,44.150771
6,2010,67.772547,1.367666,43.239144,27.732116,5.176391,36.126381,2.711411,2.857034,0.006654,60.186469,72.504996,1.615854,0.801351,100.860182,136.463406,46.598553,33.987805,95.303368,24.530138,0.214928,25.11623,7.917835,70.650026,29.777489,14.019263,75.693403,19.2023,24.033614,7.574674,3.194556,6.795856,25.259226,15.758863,70.72855,38.645164,127.766049,32.674374,4.018062,123.424749,0.0,38.233429,3.687497,48.646284,148.078038,33.626422,0.0,32.594694,8.964143,79.987555,43.276265,45.716126
7,2009,59.510189,1.363921,39.023506,24.936112,4.934631,33.068178,2.480415,3.204782,0.031019,54.906419,68.30892,1.612269,0.793461,95.789298,128.616266,41.956405,33.626282,88.444422,23.847246,0.155745,25.191081,8.692992,69.421546,31.028843,13.37834,72.292847,16.319543,23.567684,7.913502,3.101723,5.625013,28.912677,14.709358,64.078214,39.92872,119.524608,35.245514,3.129744,115.322411,0.0,35.118577,3.538467,45.082636,141.44639,34.462015,0.0,31.52532,7.93583,70.083592,40.207392,44.741116
8,2008,79.54005,1.384064,43.324204,26.336117,5.963232,36.395263,4.267466,5.750924,0.036712,65.466849,83.665899,1.709379,0.814328,104.163969,146.90962,45.832797,35.113349,96.744395,24.787547,0.558535,29.215085,10.095646,75.482411,33.94239,16.731921,74.884137,19.195636,22.16203,8.369995,3.800281,9.223858,26.853339,21.616962,75.051902,40.119673,135.738379,36.993549,3.910872,133.922118,0.0,42.074347,4.070697,60.814873,151.669055,37.390426,0.0,39.159446,8.934506,90.182647,45.403543,47.23684
9,2007,83.843711,1.28716,41.416737,25.976114,6.289128,36.698373,3.770877,6.029427,0.047206,68.079398,88.286736,1.616044,0.970757,103.049024,148.209166,43.93992,37.430192,96.348658,23.591006,0.622311,30.97996,11.348785,75.614616,34.589192,17.477773,75.825919,19.122068,20.482809,7.827208,4.240139,10.557959,27.960282,24.398536,78.198465,39.750613,138.13459,35.249302,4.29367,140.59574,0.003668,41.942132,3.141645,63.55122,151.974321,36.966215,0.003103,43.226366,9.042017,92.795271,43.929881,46.749714
10,2006,83.681032,1.411755,40.800697,24.264608,6.34234,37.242883,4.317769,5.348358,0.0,65.757759,84.320155,1.521131,0.777814,98.719244,149.624892,41.113943,34.397169,96.599099,25.046821,0.625798,30.668719,10.593865,73.011234,35.02559,17.949694,78.299738,18.349574,21.481672,7.955427,4.231449,10.963612,29.863845,24.202362,73.469223,39.204488,136.919708,36.308062,2.540804,141.308702,0.004516,40.828359,3.73828,63.974155,152.094814,36.151243,0.002539,40.91847,6.530991,90.515148,43.711308,46.220674
11,2005,83.986801,1.318343,40.464098,23.343672,6.374573,36.516246,3.96852,5.356653,0.088281,63.495954,85.096117,1.559025,1.06742,98.907346,150.242461,40.59433,35.87056,93.094679,23.942005,0.667132,31.103882,11.269428,75.44841,35.806318,16.648574,78.920194,18.839024,21.596013,18.680493,4.171286,11.836101,30.023648,24.246737,76.682363,40.728547,139.779134,37.530199,3.364389,140.467676,0.007145,40.71726,3.490324,62.125928,153.743512,38.303915,0.00235,43.250162,10.604123,90.576069,49.348919,46.368139
