,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2016,37.971914,17.556345,19.711348,16.74808,119.290381,26.588977,13.511039,6.024797,1.594936,75.027273,38.627747,0.008648,5.854803,55.453767,41.38871,16.828779,14.757128,15.072179,87.360067,2.892543,11.325847,23.486276,49.210164,24.750139,29.891914,14.517577,4.11534,9.173922,16.763572,3.156553,42.183605,13.77367,70.834841,28.662326,5.615995,52.892297,39.179059,13.255306,72.357143,4.714987,15.077962,4.541491,18.000748,209.689272,13.311334,0.656948,30.352499,17.238482,9.950141,26.506474,7.05399
1,2015,37.223549,17.717531,19.38229,15.748598,126.490011,26.031723,13.843758,5.72057,1.785622,73.116862,37.80712,0.010399,5.723329,53.65939,38.999621,16.072721,14.878257,14.68964,81.980206,2.875831,11.165351,24.253476,46.256606,23.798886,28.491165,14.372149,4.10892,9.037991,16.585673,3.753388,41.324087,13.796696,74.103769,27.378673,5.350871,54.739571,37.744035,13.046475,69.681973,5.120764,15.06873,4.423334,17.10913,215.814051,12.884758,0.649626,27.924466,17.388686,10.137007,25.306385,6.707477
2,2014,34.517076,17.470075,16.76145,14.484894,127.844283,26.37882,12.851757,5.679822,1.873006,65.856534,35.272443,0.00886,4.966635,58.793684,38.409949,16.519299,15.465116,13.915649,79.40742,3.311903,10.705138,22.948229,46.590492,26.003656,23.321429,15.989635,4.247876,9.534495,13.895647,3.118989,42.71831,13.585478,73.874882,24.527619,4.727084,56.176452,35.408003,12.015849,69.190032,4.848,12.523443,4.452462,16.653745,204.718832,13.351657,0.575824,23.2758,16.987047,9.561979,25.435154,7.548266
3,2013,33.206523,17.648398,18.059163,15.282708,131.622713,25.513678,12.739012,5.341798,1.789336,66.07083,33.671618,0.010452,5.681785,56.426614,36.081239,16.257624,15.294911,12.505616,77.27219,3.495692,10.793541,23.096151,44.129458,25.39361,22.649997,14.930093,4.366511,9.529879,14.974979,2.95255,37.776347,13.41628,69.784585,23.611172,4.368368,50.177334,36.199343,12.959887,62.369863,4.683524,12.571406,4.484721,15.107833,208.88164,13.72369,0.516878,22.996829,17.394045,8.111303,24.090433,8.282729
4,2012,35.939525,18.422707,17.988544,15.947455,130.32691,24.21883,12.535168,5.540283,1.559335,71.541079,33.125399,0.009922,4.793033,49.821324,34.72718,14.128035,14.22375,12.346339,81.637886,3.737895,11.35109,22.863232,42.662017,22.829116,26.525468,13.738759,3.991665,8.582977,14.931897,3.944073,35.591845,13.254404,66.901804,19.522147,3.813395,46.135637,37.798206,11.703133,57.274406,5.222686,13.28974,3.793711,14.909242,200.310049,12.342625,0.439628,22.495974,14.428601,7.435043,21.769363,8.411922
5,2011,32.326737,18.02961,15.552713,15.328389,116.525651,25.319119,12.522222,4.335313,1.771509,65.575493,28.204659,0.008436,4.453948,52.330533,33.697191,14.727204,15.138075,12.152576,79.043375,3.982486,10.430247,24.619354,41.773583,22.546855,23.232135,14.606872,4.21636,9.213715,13.580968,3.861411,35.946953,13.361685,66.201774,16.510651,3.833132,45.032748,35.914588,10.802709,53.083726,5.436451,12.492935,3.924761,14.21542,191.900939,12.23874,0.460373,20.343836,14.445261,6.628688,21.182609,8.583295
6,2010,28.884262,17.772869,17.838076,14.578646,123.378344,26.826936,10.813638,2.975683,1.788912,62.631432,28.700685,0.008595,4.513849,51.052982,30.636087,14.789599,14.877726,12.683515,76.296708,4.297006,11.414509,23.739038,40.253881,22.665065,23.603638,14.968453,3.867194,8.998782,14.209,3.321984,35.601236,13.062604,64.966933,16.379124,3.409634,43.007522,36.999173,12.888154,48.242146,5.078107,11.988737,3.86921,13.973322,186.222804,12.154168,0.451035,20.467617,15.644819,6.461188,19.982573,8.210997
7,2009,24.738785,18.249902,20.029104,13.1632,126.877909,27.907701,10.004843,2.740377,1.821913,57.39267,25.214544,0.00886,4.61975,50.751567,27.127184,15.067457,15.515149,11.367974,67.961181,3.903273,10.701588,21.674073,39.83399,21.51538,19.697075,14.15085,4.065998,8.776528,15.068465,3.292166,33.867397,13.155294,61.896703,13.408958,2.754702,40.893797,36.13488,13.520855,44.538525,5.033804,10.474447,3.518612,11.832645,177.408633,11.865911,0.460479,17.528278,16.964286,6.294802,20.823893,7.811056
8,2008,21.979308,18.248257,21.751429,12.650036,131.188445,26.978944,9.009181,2.639569,1.738879,51.466983,23.137588,0.007852,4.804281,53.227509,29.472342,15.776718,15.520295,12.370852,70.662754,3.952297,10.645202,22.031569,42.314549,23.084266,19.325201,15.83317,4.119638,9.171269,14.586074,3.92752,33.674801,13.414423,63.94034,13.245809,3.208867,43.690043,37.743345,14.572438,41.291404,4.839829,9.330492,3.472718,12.650885,185.778455,12.596342,0.459789,16.481947,16.292853,6.346479,22.024247,7.806121
9,2007,22.848854,19.746895,21.328249,12.182235,130.919713,27.209528,9.741363,2.649225,1.796287,50.07727,24.152456,0.009179,4.451614,51.393552,28.852268,14.01582,15.47647,12.514847,73.927465,3.566841,10.94969,22.225756,43.235294,20.992242,19.895719,14.745509,3.983335,8.143668,13.929869,3.441043,33.968735,12.726013,64.429575,12.971082,3.015847,44.331869,35.944512,13.80752,41.388975,4.788842,9.666872,2.870366,12.177619,184.506801,12.262775,0.470772,17.562765,14.825624,6.608473,21.432134,7.745424
10,2006,21.331114,19.934345,19.377833,12.780502,126.059085,24.348129,9.33097,2.376249,1.579815,48.677741,23.022455,0.009497,4.193652,47.545883,26.515281,10.991272,14.286728,11.522104,69.540329,3.584349,9.937277,20.056853,43.346819,19.004792,16.761132,13.684535,3.986413,6.972919,13.667079,3.429742,30.068539,12.078934,59.433813,12.212,2.653258,40.899846,34.188655,12.188708,36.327528,4.165744,9.650795,2.168002,12.205527,180.434067,10.499596,0.42769,15.039231,14.380108,6.701853,19.978965,5.991636
11,2005,19.280633,23.064051,17.471613,11.492127,122.267125,25.388623,9.080702,2.58057,1.790822,42.73428,22.698915,0.010399,4.144734,51.608856,28.412482,11.181215,13.725494,12.778857,69.787446,3.43908,11.102785,20.497913,49.212021,19.741431,16.485449,14.504897,3.771639,6.373485,12.521692,3.869635,33.183284,11.956532,58.744501,12.602391,2.633839,45.675158,31.834637,12.709088,38.154057,4.375053,9.460375,2.273425,12.648656,181.055064,8.954374,0.445517,16.529062,14.440221,6.631234,22.049449,5.988135
12,2004,20.794287,21.644043,18.902233,11.562056,130.638459,23.383134,8.800138,2.638031,1.75607,40.199551,21.564086,0.008277,4.152958,50.720582,27.928499,10.506175,13.800888,12.38141,70.879083,4.752869,10.566732,20.353864,49.800473,19.224871,15.413545,14.23452,3.63783,6.154945,11.759957,3.386607,34.193165,12.158678,59.773375,12.320448,2.992874,45.755751,29.460881,12.630086,38.370104,3.944869,8.994007,2.215487,12.667757,202.1915,8.709411,0.462071,15.153355,14.302592,6.863357,20.479873,5.935874
13,2003,19.126079,22.06579,14.625017,13.506742,122.935745,23.179078,8.343267,2.545234,1.78801,37.926285,20.732423,0.007269,3.807028,53.138215,30.074694,10.485536,15.1064,12.276464,68.779421,3.900514,10.7121,22.016872,50.441716,19.853274,14.598383,14.067073,3.716566,6.353058,10.136476,2.993245,33.727539,11.949422,60.025501,12.064396,2.975842,46.578129,29.515848,11.412595,38.066089,4.26252,8.059467,2.327543,14.102886,209.561714,8.676198,0.447798,14.434331,13.574018,7.182122,21.10955,6.389827
14,2002,20.690243,22.326776,13.542555,13.152642,123.020424,24.284567,9.638539,2.853441,1.78732,37.597917,20.857955,0.007428,3.898657,55.77407,28.564012,10.295116,16.311317,12.527952,75.139148,6.699731,10.670884,21.45914,52.245802,19.852425,18.811241,14.796178,3.766546,6.429089,9.603787,1.383559,32.740845,12.186639,65.112362,12.900357,3.267919,45.758722,27.723753,10.972543,37.164816,4.765762,10.118596,2.203549,13.990512,223.234514,9.145059,0.445623,14.158384,12.759757,8.252222,20.586411,6.22811
15,2001,18.251759,21.91495,12.968323,12.28734,133.376555,24.621583,7.923695,2.74929,1.622261,30.229407,19.240682,0.00711,4.340248,50.850889,26.807995,10.263653,14.530205,11.497645,68.307668,5.368804,9.677308,19.31772,49.05057,18.298395,18.087283,15.311464,3.527366,6.58168,9.616839,1.313577,30.403539,13.774943,63.927341,11.438964,3.041951,44.399251,26.805342,12.501955,35.492841,5.229902,7.808244,1.964954,14.084423,219.856674,8.891448,0.419678,13.073481,17.106212,7.987363,19.260843,5.51731
16,2000,19.550002,23.237334,11.043002,13.588555,130.330412,19.423674,8.685217,2.662065,1.823982,30.478986,22.350651,0.003979,3.95373,55.192834,30.566211,10.772838,16.705953,12.424333,82.722092,2.548895,11.479596,18.979219,51.552935,19.490844,16.557818,15.28345,3.69216,6.751991,10.299678,1.390456,32.783714,13.742579,67.84929,12.772172,2.83434,49.179392,29.006345,12.254074,38.583551,4.869965,8.755623,2.022361,14.891202,227.249651,9.202042,0.559483,14.733253,15.788072,8.379027,21.092837,5.62268
17,1999,18.520809,22.433261,8.901317,13.670899,126.25131,17.556239,8.269943,3.081956,1.749013,30.955753,18.416447,0.0,3.892343,53.686449,29.615807,10.689433,16.024281,11.958442,79.171638,0.352668,10.605271,19.164599,50.246096,18.627135,16.860135,14.274896,3.37573,6.439222,8.488112,1.081454,39.133324,12.272697,69.407776,11.924008,2.833438,46.260744,29.221861,13.104784,37.85312,6.404948,8.911398,1.910252,15.193519,205.52647,8.980159,0.431298,15.23501,16.037067,7.83509,20.434404,5.393741
18,1998,18.144001,23.049832,8.546686,14.478581,128.327364,17.450125,7.156973,2.245517,1.657225,28.096954,20.084495,0.0,3.815411,51.758954,27.983837,9.807896,17.245645,11.253637,85.408985,0.307145,10.223582,19.473813,46.244297,17.884288,13.393837,13.872302,3.257573,6.956472,8.205479,1.020386,36.929138,12.808092,67.188257,11.813491,2.427502,44.707245,30.983183,12.694816,35.396755,7.111397,8.748036,1.770554,15.250767,217.578472,9.442017,0.415328,14.39889,16.092458,8.057875,19.74037,6.181367
