,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2016,38.522889,15.789255,36.710043,22.391879,239.048895,32.093999,20.569305,6.511606,1.165789,114.793297,59.912014,16.884229,12.298536,82.398941,51.322376,28.183284,23.402334,39.296103,108.50116,13.362225,30.850718,38.80477,58.138106,39.841909,33.244008,42.741946,11.052955,16.680241,16.98507,10.098009,67.002278,16.002039,90.034265,55.84664,11.447221,75.788095,36.786655,22.8774,76.134342,5.03449,35.680934,7.937385,49.229585,319.18676,20.050797,5.297983,52.944754,56.585286,13.653127,35.365374,10.44571
1,2015,36.335496,16.6784,35.129856,22.078681,231.386268,32.275245,22.040384,6.45178,1.196258,115.018322,61.941525,17.035835,11.83334,81.157593,52.200507,26.911311,23.229156,38.296617,105.431085,13.736907,32.63898,39.084128,57.232976,38.335949,29.925168,42.232573,10.960802,16.507232,15.216838,10.409621,68.09345,15.927866,89.734275,55.383228,13.378327,76.420731,36.414312,22.577295,77.517214,5.779417,34.778278,7.980173,47.864426,276.159811,19.423263,5.511738,53.403328,50.528627,12.969897,35.989682,10.670932
2,2014,34.381651,16.154142,34.115488,22.484697,221.384525,32.249089,21.44163,6.099003,1.142,109.178067,58.753697,16.725489,11.016671,77.628613,51.881168,27.430474,24.232474,37.382932,101.943524,13.133997,31.691056,37.998262,56.582654,39.221496,29.568826,41.923244,11.16213,16.533754,15.835724,10.486389,67.645215,16.055077,89.810979,55.488194,16.218704,75.601778,37.375082,22.787969,79.069207,5.797255,32.845204,7.920138,46.647262,263.544956,19.270778,5.326185,54.61841,47.322039,13.354574,36.251417,11.577116
3,2013,34.444288,17.137841,34.173889,22.264172,220.78218,31.301314,21.431026,6.044387,1.037344,108.251205,60.660768,16.96079,10.733674,76.252658,51.041032,26.723153,23.213528,37.288228,104.726676,12.949468,31.066315,38.536553,55.407294,38.91403,28.731287,40.934924,11.467933,16.300323,15.303466,9.775238,67.115881,15.403782,85.835279,54.82805,15.181169,75.227525,35.34054,22.520441,77.971818,5.467356,33.128811,7.741043,45.442973,260.280825,19.51899,5.242295,54.695905,48.610987,13.450716,33.807709,10.791331
4,2012,35.707238,18.35417,33.661046,22.044174,218.673161,31.335598,20.723898,6.195896,1.082119,105.73749,61.922095,17.311844,10.398111,74.800515,47.302619,25.380196,22.350862,38.417886,107.636639,11.970749,30.354463,36.599307,51.487506,39.463169,28.023124,40.147743,11.291567,16.199469,14.598366,9.274252,65.585129,15.299539,86.601762,51.297146,13.7904,73.023018,35.748983,22.549436,76.261913,5.318773,31.483935,7.855228,44.814249,248.270041,18.657878,5.025676,54.4002,49.834879,13.227828,33.182315,11.424051
5,2011,36.214815,19.309188,34.402309,23.022006,226.890371,31.478035,21.784189,6.225818,1.304995,111.450906,68.174295,17.91153,10.618791,77.220756,49.794184,27.052543,22.533755,40.498779,119.618656,13.426546,31.234673,39.369088,52.617509,39.251718,27.101563,41.628079,11.54369,16.096873,14.350752,10.057061,73.545493,15.212481,86.046037,53.122476,12.490467,74.816055,35.607252,23.120353,79.910183,5.609175,32.443336,7.685982,46.448023,243.197174,19.18576,5.36154,52.345716,48.716988,13.525038,33.965776,11.106719
6,2010,36.110611,19.783512,34.234343,23.497417,234.215889,32.332754,22.741296,5.439692,1.416124,119.481502,70.367196,17.370368,10.679452,78.017639,49.187152,26.98766,23.335788,41.119675,120.585046,13.581828,32.59369,40.149629,53.84987,39.446382,27.698918,42.90602,11.199866,16.791671,15.7735,10.074503,71.468947,14.717042,93.112984,55.901293,9.992689,75.99027,35.846081,23.808295,82.717817,5.938503,33.148217,7.547573,46.952361,241.933856,17.852896,5.444748,55.590133,48.813092,13.937622,34.975399,11.073268
7,2009,35.851228,18.389803,34.346271,23.374075,236.321616,31.748834,23.44598,6.036373,1.321441,111.973805,68.554328,17.233267,9.775667,78.274176,48.145408,26.954337,23.303263,39.940204,117.011473,14.338503,34.589417,39.904397,54.74794,39.546737,27.410716,43.097508,11.959988,14.961122,16.409957,10.667972,70.108734,15.000513,95.433462,55.50439,8.535209,74.639812,34.45614,24.207484,82.627235,6.211906,33.529045,7.707704,45.055815,222.275108,18.050073,5.715445,56.41111,48.470322,12.990382,34.815096,10.900742
8,2008,38.108784,20.003468,37.17284,25.1565,244.333441,33.50469,24.390146,7.228304,1.306464,121.621685,65.057813,17.544227,9.948757,82.614728,50.388496,27.440162,23.600405,40.994006,130.121318,14.578382,33.907639,44.579316,57.243491,42.82451,28.491731,44.46235,12.471967,15.297326,17.928842,11.01569,83.75526,15.931066,102.212659,60.901058,9.406297,80.492622,36.820869,24.281805,92.332154,5.831453,33.173356,7.455371,46.949855,237.419925,19.166557,5.483425,60.891344,50.30767,13.673736,37.35418,11.614023
9,2007,40.737688,23.193257,39.130076,25.134243,260.138642,34.908697,26.737556,7.863908,1.532997,138.685258,72.019176,22.370314,10.925202,87.139334,54.131688,27.27818,26.746265,43.619717,124.882638,16.769796,35.603716,46.310128,62.546972,44.761122,30.634371,47.92835,13.417883,15.985396,19.919245,11.493826,84.364794,18.102485,108.767678,63.289257,9.599987,84.865259,37.673926,25.646693,93.738602,6.278537,35.227552,7.893561,51.18297,272.109852,20.775333,6.037794,66.935252,54.993141,14.969242,39.022887,11.720937
10,2006,40.769872,24.58708,39.74258,24.913192,259.8256,34.619018,27.377873,8.002941,1.600373,144.707807,74.48326,21.65533,10.867529,87.63182,55.203725,27.870597,23.175652,43.876594,122.934269,17.053652,36.56074,45.85422,62.915742,44.702186,31.194392,47.386316,12.726038,15.829023,19.861572,11.719664,80.252439,17.648278,107.270708,62.946816,8.715672,85.725939,39.138266,25.585551,95.278269,6.354392,35.860864,7.484389,50.997083,278.739648,21.39641,6.253435,66.501358,52.463359,14.930877,38.959463,11.643762
11,2005,40.065012,23.832934,38.745329,25.24526,255.106596,33.306485,31.023452,8.840572,2.039813,154.428979,76.547742,21.351719,10.592902,91.489211,54.848443,26.881149,21.987069,43.706176,111.666678,19.02256,39.798449,52.695157,65.792364,45.827195,30.75082,47.739302,12.290147,15.710294,18.660877,13.22373,83.37034,17.048133,126.402416,64.743412,8.892588,85.286192,36.946711,25.037931,100.067835,6.822304,35.834302,7.538049,50.370154,266.76682,19.496848,6.361525,69.161893,50.707468,14.775629,39.085169,10.622645
