,Year,US All CO2 Emissions,US Coal CO2 Emissions,US Natural Gas CO2 Emissions,US Petroleum CO2 Emissions
0,2016,5160.99085,1341.554505,1494.509337,2324.927009
1,2015,5207.386647,1466.690348,1481.281198,2259.415101
2,2014,5350.26544,1697.674855,1438.30018,2214.290405
3,2013,5301.451176,1701.695889,1408.296876,2191.45841
4,2012,5162.563034,1639.630926,1370.834456,2152.097652
5,2011,5382.449527,1855.156011,1311.648015,2215.645501
6,2010,5514.297402,1965.117129,1291.448195,2257.732078
7,2009,5313.844121,1858.135179,1233.42741,2222.281532
8,2008,5726.287029,2113.011264,1254.483604,2358.792161
9,2007,5919.121363,2147.475127,1245.904852,2525.741385
10,2006,5822.296551,2118.95153,1169.549389,2533.795632
11,2005,5893.552285,2151.634481,1183.363023,2558.55478
12,2004,5873.565342,2118.667109,1201.121687,2553.776546
13,2003,5777.692218,2105.20873,1195.68131,2476.802178
14,2002,5725.245815,2065.769005,1231.704914,2427.771896
15,2001,5685.468162,2066.578455,1190.928922,2427.960785
16,2000,5797.902868,2130.265877,1245.714549,2421.922442
17,1999,5606.000407,2036.95736,1198.665764,2370.377282
18,1998,5562.034442,2037.022266,1197.087302,2327.924874
19,1997,5540.323209,2023.406571,1222.278805,2294.637833
20,1996,5453.25905,1980.796698,1210.757419,2261.704933
21,1995,5268.504798,1895.882384,1188.497391,2184.125023
22,1994,5207.495855,1875.711472,1138.073025,2193.711359
23,1993,5133.153584,1868.516516,1112.966163,2151.670905
24,1992,5015.360229,1800.345924,1085.072517,2129.941787
25,1991,4940.382389,1789.700588,1048.98639,2101.695411
26,1990,4986.998273,1805.088859,1027.964036,2153.945377
27,1989,5022.582146,1791.079765,1026.99991,2204.50247
28,1988,4945.244594,1774.686881,967.991363,2202.566349
29,1987,4716.745023,1685.109549,925.764594,2105.87088
30,1986,4569.640248,1618.083494,871.076334,2080.480419
31,1985,4566.098059,1646.116998,929.396953,1990.584108
32,1984,4565.449871,1594.839451,964.828649,2005.781771
33,1983,4361.64536,1487.372207,903.244251,1971.028903
34,1982,4377.203602,1430.450562,964.243558,1982.509482
35,1981,4620.363885,1489.863791,1035.331886,2095.168209
36,1980,4768.019214,1444.002171,1060.590705,2263.426338
