,Year,World CO2 Emissions
0,2016,35666.079685433
1,2015,35821.836532028
2,2014,35878.521381478
3,2013,35720.130280707
4,2012,34971.759501502
5,2011,34218.421810664
6,2010,32675.600444302
7,2009,30835.712155833
8,2008,31050.646687761
9,2007,30717.366590775
10,2006,29907.034780385
11,2005,28985.937407795
12,2004,27786.318664197
13,2003,26532.184905548
14,2002,25275.667736452
15,2001,24676.753229979
16,2000,24456.467314369
17,1999,23686.061387092
18,1998,23306.259282203
19,1997,23231.52597719
20,1996,23156.37263181
21,1995,22675.014560447
22,1994,22145.721257089
23,1993,21988.404993182
24,1992,21878.948924407
25,1991,22112.530356974
26,1990,22901.397232135
27,1989,22430.01202415
28,1988,22199.504350774
29,1987,21504.081129139
30,1986,20914.750584977
31,1985,20510.356784616
32,1984,20057.809889675
33,1983,19246.7500878
34,1982,19107.978320255
35,1981,19145.530756434
36,1980,19411.272074721
