,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2017,378890,16376,334512,267591,33663,315835,2507,4804,30,407538,344273,14948,2615,685000,929271,300287,216747,639356,142267,2168,106973,12407,499439,257594,53779,709796,156073,233809,27297,3617,16488,199114,19553,350286,397875,810953,198309,18723,669540,0,192751,26114,334567,1451978,274816,0,159813,61732,710445,388614,458496
1,2016,410168,16613,323878,246437,32077,321476,2340,8199,34,426188,399279,16431,2432,702467,948386,298006,253121,736584,140513,2194,162931,20115,471236,261250,61219,639860,161938,240465,30765,5277,17455,197083,29679,381761,394579,825311,221842,19440,734838,0,221865,26660,379775,1323111,269016,0,222938,53302,751957,357335,457315
2,2015,494311,19511,385822,226889,30967,340107,6536,7149,44,466530,394665,15632,4249,850430,1007472,348293,273416,796484,174221,2588,165994,24177,617280,271570,71626,696401,178421,266319,36635,10989,22925,215703,41241,405525,408091,865714,280748,26515,878829,0,241217,19616,370650,1340422,330043,0,232427,58273,730949,408189,487177
3,2014,575912,18225,447849,339214,39486,350526,9097,10238,48,557882,482657,17241,7472,1017855,1221492,401151,316572,913452,209973,2142,201220,29871,618479,313073,116537,780707,175357,276544,79230,14867,30731,215348,64655,501592,399195,1057377,336080,34238,1039161,0,305656,33062,427509,1585961,344054,0,278183,76547,816460,417096,489300
4,2013,565051,14819,454865,327099,38151,363532,7679,18254,4,505155,426184,15306,7965,1026925,1198611,402402,326817,914774,228055,1657,183191,42208,658172,267695,97767,806549,166104,292956,64838,16778,25910,256377,68707,493771,393193,1104486,335925,38900,1126118,0,257319,34246,399768,1597357,355230,0,290508,74955,771188,454554,520699
5,2012,547004,15521,420570,296732,43832,370085,9290,17384,77,482984,435546,16572,5186,969294,1193465,422595,307585,909705,238811,1299,192334,24036,621633,257875,82456,768297,157308,272587,52850,14191,25589,263439,72914,534713,406344,1019140,327089,28259,1093178,0,298572,35574,423086,1498818,322055,0,222270,42656,756716,373281,490128
6,2011,651032,15481,459909,306119,55264,368871,6081,17881,48,552730,634756,16080,7846,1052224,1333442,463138,346521,1010623,269993,1542,241190,42963,691150,315604,107546,825650,165687,285384,62701,24489,49592,284737,125181,624783,394771,1222606,378320,35135,1212984,0,366160,32112,481127,1695239,346181,0,288348,56951,822645,447370,467671
7,2010,718684,14548,457909,293689,54972,382623,28711,30253,71,637416,767906,17117,8527,1069037,1449371,493794,359908,1009823,259750,2279,266067,83850,749285,315438,148463,801625,203339,254552,80228,33827,71961,267474,167094,749091,409684,1355137,346047,42556,1310670,0,404966,39061,515464,1568060,356148,0,346161,94934,848129,458442,484239
8,2009,630969,14505,413260,264083,52403,350224,26265,33938,331,581517,723449,17083,8443,1014972,1365413,444574,356079,937106,252519,1652,266860,92056,735907,328678,141675,765617,172812,249593,83812,32844,59563,306162,155965,678673,423267,1267267,373271,33150,1223937,0,371981,37480,477713,1497854,364994,0,334605,84048,742922,425941,473912
9,2008,842826,14705,458727,278849,63050,385416,45188,60891,391,693161,885849,18095,8604,1103163,1558078,485218,371804,1024816,262470,5908,309294,106897,799969,359359,177166,792918,203260,234654,88619,40241,97671,284346,228985,794693,424615,1438432,391688,41408,1421091,0,445454,43098,643796,1605925,395878,0,415102,94601,955628,480712,500109
10,2007,888436,13662,438524,275037,66495,388586,39931,63839,502,720824,934773,17107,10261,1091382,1572084,465167,396333,1020709,249800,6583,327979,120168,801178,366208,185063,802879,202480,216872,82871,44899,111799,296067,258450,827974,420719,1463773,373217,45461,1491907,39,444046,33256,672766,1609155,391386,34,458200,95737,983259,465083,494955
11,2006,886678,14981,431985,256907,67017,394348,45722,56625,0,696215,892732,16102,8212,1045398,1587100,435187,364212,1023263,265214,6618,324657,112173,773595,370814,190057,829054,194307,227444,84225,44807,116093,316221,256345,777871,414838,1450797,384418,26895,1499292,49,432220,39570,677174,1610301,382757,27,433606,69150,958880,462732,489325
12,2005,890098,13994,428445,247169,67422,386670,42023,56716,939,672309,901010,16506,11286,1047532,1594399,429777,379823,986263,253518,7059,329304,119333,799463,379114,176286,835663,199495,228667,197799,44169,125332,317916,256879,811939,431133,1481045,397379,35624,1490836,76,431086,36952,657711,1627863,405546,25,458452,112284,959657,522521,490940
13,2004,853917,14075,425413,270210,68909,390186,43997,53599,741,699055,834991,17913,12336,1069538,1614210,443221,385498,961759,256716,7336,327239,105075,773825,378775,184992,807466,195620,223624,193634,43446,112707,309418,276470,782692,398381,1391290,372093,36460,1474310,76,433868,43562,648005,1626029,399704,25,452557,112539,937062,499212,500526
14,2003,873735,12552,406537,253653,69469,394163,41864,46997,173,723832,819031,18044,10219,1010087,1570700,444587,389464,943652,247978,7481,329590,109373,747940,390691,178949,795634,188981,227290,182553,41633,106857,305641,286179,771618,420832,1443498,393790,44884,1461986,101,419663,43017,621425,1603971,379185,25,464353,118207,978415,488239,493897
15,2002,845999,16429,406479,255242,70010,390480,34206,40536,99,719670,807121,16618,10194,986832,1547530,441534,391664,950941,232109,8000,325834,118358,739866,360822,154339,725679,166322,217939,164775,39845,104849,284132,280584,770928,422809,1396899,391379,37751,1457349,76,404455,39957,655906,1550325,370551,25,482759,100832,993467,491990,480360
16,2001,842337,15911,424023,273982,67839,400028,39991,38335,741,725890,772021,17774,11395,983729,1569235,443921,354647,1013055,239990,7875,318851,109014,789703,353305,198275,716378,184401,226691,188572,40125,112207,297096,306993,756311,420001,1362828,376112,43365,1392203,50,414459,44372,687352,1492977,384453,50,487601,99441,866590,494043,499817
17,2000,904181,16455,432810,267579,70012,387879,36246,50147,177,760439,819530,17653,13732,1016555,1595037,445888,362797,997621,253263,9980,312162,114658,799800,373775,147481,688905,176779,206938,199339,44033,114734,305513,330844,786114,424563,1428454,381089,38700,1508091,52,432195,50602,705059,1548184,403068,26,506961,106240,977817,499233,506147
18,1999,866512,16394,403262,267022,69547,364236,15231,35915,151,716280,782617,17691,7976,958832,1477167,432009,329308,987592,227687,6864,305186,113610,832638,341475,137608,687170,186770,198490,181616,35408,88984,298105,317998,742398,411323,1382205,360598,38604,1414957,41,402153,46304,648342,1530426,384060,2016,444542,96875,993017,480722,496169
19,1998,856479,16471,386770,254658,66157,364889,32569,45817,155,749474,767394,18223,8783,949046,1447976,424859,309382,958990,225283,7294,303896,109862,826852,357030,125930,695687,186099,204797,184243,38623,86235,290367,337438,754322,409226,1450165,370064,36133,1466042,59,373368,41015,651838,1488589,396129,53,438490,103476,978340,472029,516261
