,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2017,681516,343908,335978,317614,2188659,466263,246334,103105,31358,1418207,709218,3027,116017,1047654,751481,413028,278639,296965,1717520,45127,233138,462781,908813,466602,543743,264753,83253,176385,306398,53748,734132,249878,1280124,519903,118101,1015165,691654,262755,1403672,94751,285533,85171,331680,3994212,231342,12288,596749,351273,202872,504479,133992
1,2016,715033,330883,373916,315617,2248939,468803,254652,113556,30160,1414358,727888,2982,110344,1055935,782939,348578,276404,280002,1718755,54509,230194,440784,926828,466425,561342,273583,77589,173001,316653,59638,794239,259158,1336455,540271,110816,994415,736164,249829,1354340,88471,284225,85021,336341,4151063,250199,12385,572141,324929,188491,501042,132478
2,2015,701582,333936,365313,296826,2384061,494922,260925,107828,33654,1378089,713149,2871,107871,1022360,738130,334666,280421,276919,1594694,54203,226832,457217,871834,448567,536996,270885,77443,170377,312602,70742,779349,260038,1396693,516026,106128,1032214,711393,245897,1313380,96514,284022,83370,322468,4263860,242848,12248,526503,327738,191059,476969,126421
3,2014,650570,329274,315916,273009,2409574,501498,242227,107057,35302,1241250,665455,2796,93610,1119089,726972,342558,291483,262332,1547706,62423,218079,432634,878128,490179,439557,301543,80063,180097,261902,58785,805697,256056,1392378,462289,94352,1059480,667360,226472,1304101,91374,236058,83919,313887,4060592,251649,10858,439012,320167,180222,479396,142268
4,2013,625869,332631,340375,288045,2480792,485106,240102,100682,33725,1245287,635287,2871,107089,1073734,682842,335598,288274,235733,1505539,65886,206238,435314,831741,478634,426902,281399,82298,179619,282245,55649,712265,252867,1315282,445018,87224,946162,682277,244265,1175538,88274,236943,84527,284750,4131226,258661,9746,433573,327840,152880,454050,156110
5,2012,677380,347228,339043,300572,2456371,461056,236260,104421,29389,1348390,625008,2813,90339,950711,657719,299315,268086,232702,1586437,70451,216678,430921,804084,430286,499946,258945,75234,161774,281432,74336,670970,249815,1260950,367948,77469,869934,712411,220578,1079497,98435,250482,71501,281007,3964124,232630,8290,424050,271947,140133,410305,158546
6,2011,609288,339819,293134,288906,2196252,481614,236016,81710,33389,1235953,532310,2744,83947,997722,638237,309672,285318,229056,1536148,75061,199223,464018,787337,424978,437873,275308,79470,173666,255970,72778,677923,251838,1247757,311189,77752,849076,676910,203607,1000509,102465,235465,73973,267929,3800578,230672,8679,383527,272261,124935,399247,161776
7,2010,544405,334978,336208,274774,2325411,510877,203814,56087,33717,1180462,541691,2732,85075,974412,580752,312941,280413,239062,1483203,80988,217744,447429,758696,427198,444875,282141,72888,169620,267808,62612,671474,246201,1224485,308710,70046,810958,697351,242914,909263,95710,225961,72926,263365,3689581,229078,8502,385931,294871,121780,376627,154759
8,2009,466272,343971,377504,248100,2391374,533677,188571,51652,34339,1081725,475294,2712,87072,968495,514548,317392,292425,214279,1315265,73569,203780,408519,750783,405564,371245,266721,76635,165436,284007,62049,638792,247947,1166620,252729,57565,771303,681062,254837,839666,94877,197419,66317,223019,3481133,223646,8681,330625,319739,118643,392485,147220
9,2008,414260,343938,409966,238424,2472612,514880,169802,49752,32774,970038,436093,2817,90550,1014508,558591,329030,292523,233180,1369823,74494,202931,415260,797534,435134,364237,298427,77645,172886,274915,74025,635200,252831,1205144,249654,65746,823936,711379,274659,778379,91220,175858,65453,238441,3653462,237414,8667,310740,307085,119617,415109,147129
