,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2017,560103,224170,557015,339770,3666908,500633,311185,107127,17864,1706521,957139,241871,183766,1282303,761078,426336,348532,599225,2021987,191151,465236,577010,884802,609442,509087,629830,177143,245369,267129,159241,941784,260442,1338517,856048,189662,1151901,570470,349076,1241937,80259,552250,116267,742841,6636281,308829,80757,792117,819317,200048,542198,160937
1,2016,576500,233260,556063,341293,3602810,490570,310749,107186,20591,1689988,899159,238881,184256,1280404,782395,445530,356034,624878,1898263,197414,470925,582264,889802,624596,496484,640795,172027,245455,254915,151976,1002888,246492,1355948,853668,171036,1165567,552476,344993,1185023,78965,545252,119184,738244,6445817,303510,81139,799362,847122,208463,548505,159272
2,2015,546237,245552,531840,330153,3494378,492377,327789,106525,21690,1691485,918873,242434,180723,1271927,803530,434020,356757,610740,1925325,203650,497648,584961,872524,603287,449362,646571,171343,243651,231710,157438,1028731,248027,1344599,836196,200272,1169316,549912,338486,1207533,90294,533525,120606,716343,6289863,293416,85002,806092,775285,197420,558956,164247
3,2014,519075,237961,515390,340681,3363800,488239,322403,100364,21120,1609105,872351,237826,165449,1221645,790267,442127,368986,595163,1869599,194592,482743,570264,863540,613955,442330,637838,173554,243685,238589,158988,1014563,248160,1343341,840527,243484,1154488,557120,339120,1224691,90892,500891,119625,702071,6043815,289353,82672,818769,718053,200741,567735,176704
4,2013,520222,252206,514915,334840,3352775,473509,323137,98692,19685,1591083,904507,240572,161778,1199674,779532,432061,354445,587208,1925103,191269,480345,576698,847762,611887,430688,620548,177709,239856,231174,148578,1011037,240259,1287212,831573,229695,1153549,530419,334190,1201139,86156,504186,117270,685642,6042626,292666,81822,819801,730809,202987,531505,166522
5,2012,537105,270628,508844,332289,3308164,471135,310864,102780,20194,1562387,924949,243028,157480,1172154,738543,407213,344039,619286,1943513,178017,470212,550150,789403,618275,420620,615886,176411,239584,222702,141799,995459,240800,1301601,788081,205467,1135546,539998,335201,1180314,82525,485566,121918,676703,5698471,283338,78284,819318,753957,201278,520475,175883
6,2011,545415,284438,522243,350022,3422952,473530,328033,105560,23272,1632362,1013037,252695,160568,1211366,767513,429495,345714,635136,2094606,196570,482596,589870,801680,613546,413047,639440,180646,237617,219923,152012,1116046,240464,1290636,805173,190084,1154837,533522,343313,1230225,86014,497194,116691,702391,5560961,290137,82763,792176,733307,206250,535007,171743
7,2010,545193,289080,518914,353930,3487901,493214,342836,88820,25156,1734571,1051736,244593,160966,1232271,766809,428601,363769,652014,2117040,198782,502480,600549,821404,621165,420091,657946,173289,248059,238275,152436,1079583,232542,1386624,847352,152195,1173950,540133,352114,1281084,92350,513883,118194,705542,5558222,269011,84256,838015,744971,210273,548828,169371
8,2009,527384,265386,518518,342153,3492767,474933,351267,89001,23057,1637738,1028112,242829,147644,1237743,773888,425359,356192,658303,2055596,208210,527033,591263,840164,615957,407374,664619,185406,221478,244953,158711,1063613,231352,1429034,831498,130828,1166566,518133,361002,1285314,95508,532494,118817,683381,5132249,269281,87122,841954,754562,197656,539712,165437
9,2008,570063,278725,561904,357242,3637655,493809,350012,115548,18939,1764538,973305,242279,154804,1315921,800628,431999,358832,660997,2197451,206082,522555,639577,867609,665160,425195,695001,194705,224341,265653,164699,1243819,244738,1514922,907883,139709,1267877,553284,365939,1410303,92887,517286,116039,736639,5308994,282948,79221,893606,784674,225943,578090,171204
10,2007,601654,323089,587735,360044,3877581,519229,389153,123237,22228,1947528,1057622,305278,164344,1358099,851065,425501,407303,702007,2131474,234234,548636,668999,942564,699240,461297,744232,208263,231876,290177,168602,1274106,278942,1589194,925244,142144,1310012,570520,380272,1416786,90630,536493,120351,789632,5970781,302541,87097,977534,830612,236144,600636,170411
11,2006,611416,342272,597269,358768,3865118,510111,401568,125393,23100,2025240,1092445,296835,166481,1370435,873873,438355,354283,709312,2127496,235815,552402,664906,945201,696972,469708,746365,195362,230268,294772,170678,1201097,269268,1577779,921194,138317,1309966,587133,385659,1440737,93240,553561,118413,798432,6123766,312312,88960,973145,803662,236894,602745,167452
12,2005,607006,333091,587601,358408,3820634,493446,447357,136316,28871,2135194,1122720,295039,160896,1433725,872420,431385,344498,707177,1975738,264319,608867,743442,996552,718313,456016,751815,183824,230277,279304,191604,1235470,255668,1815291,949207,138369,1299021,561399,378531,1503278,98216,548639,120548,794578,5989206,289745,90705,1004345,776036,231692,610787,155841
13,2004,612500,334562,559421,361081,3742966,497726,464132,127465,30534,2095091,1079645,282864,156496,1318952,876281,424155,412468,708251,2069916,260353,590266,737096,993005,710231,480422,752118,176267,236539,263830,205481,1165299,256422,1848106,938800,133859,1318639,526834,370777,1482684,99095,569746,114978,765424,6163975,277604,95317,1002916,751413,231891,614725,153076
14,2003,563003,285641,538177,357343,3570066,464467,436051,136588,29777,1931768,1033435,269414,140328,1270981,897035,384074,422629,649350,1958947,265720,570733,730876,981268,694608,480507,746529,157240,232254,242858,200220,1146449,248969,1761907,907313,122667,1319498,545461,360261,1447478,103025,495840,114447,755961,5980913,276564,87073,941118,728780,212969,589039,159203
15,2002,563247,277736,527322,356282,3713354,440577,382574,134057,33375,1892432,1006589,257441,160021,1221298,862954,404884,364353,685344,1989143,230101,547748,711438,1002247,672102,428283,728779,161694,225120,237563,176568,1179057,243763,1560538,881888,124301,1287881,549321,369188,1404038,98115,478674,119716,737577,5927293,258560,84489,860221,742132,229782,612017,150160
16,2001,536066,289799,516062,353382,3593361,460077,418957,138478,33414,1941946,1011020,239817,155395,1257667,811041,389307,377447,628298,1965938,227875,566458,739924,985556,671924,479661,724709,156521,217759,250040,166694,1194458,239051,1626103,904973,137784,1275047,581673,354016,1432779,99767,481022,112097,710393,5779089,261655,89212,891543,770403,218396,610610,156709
17,2000,559735,275426,504145,357586,3576976,443604,429071,130824,34442,1907980,1013420,235191,167339,1283572,859872,402950,389577,594775,2166207,259350,547236,739514,999724,676886,455825,676772,165475,224353,235594,168959,1191116,233581,1606004,909762,119848,1271147,511661,379927,1408745,97168,472260,117907,697006,5772540,268705,88067,872525,837788,206515,602837,145728
18,1999,536428,275902,495815,350550,3428613,417245,442685,136124,33414,1837384,1013518,229893,165044,1292916,853506,407712,420973,607084,1972665,266171,568628,715870,1038136,660076,472228,770772,173223,248087,227216,173701,1160623,240758,1523657,866225,123839,1288635,491891,394607,1344252,97394,457386,115448,688943,5847011,257263,83770,830143,850867,204099,609812,147779
