,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2017,1900936,608135,1475387,1057643,7881348,1462864,726389,269779,167625,4208521,2802165,283414,553888,3871546,2700478,1558979,1073232,1658207,4481816,392002,1314739,1424156,2774512,1832262,1176354,1726080,420636,876032,707205,317495,2134878,683442,3684137,2503112,631144,3643714,1643837,1032245,3807664,183872,1643615,384857,2166502,13365864,828671,134794,2302571,2096886,756420,1805766,512235
1,2016,1928825,605930,1473676,1054180,7819232,1453002,724506,273060,174224,4227568,2830673,282609,538146,3896291,2797737,1526700,1090817,1703559,4199207,395490,1355778,1421131,2769536,1811223,1160620,1766398,404888,868307,680144,305904,2211499,672340,3685544,2547815,586429,3693000,1633797,987666,3758844,186147,1652020,383002,2208803,13089570,812029,135834,2332178,2071682,762028,1793907,505739
2,2015,1923918,622786,1442394,1062224,7672710,1490556,756544,277858,178479,4245434,2855873,282832,537079,3892959,2850415,1496879,1104548,1729083,4094109,426202,1395939,1449205,2792606,1789990,1138077,1822582,404110,853819,651344,314898,2295147,680091,3750534,2535020,612376,3745758,1632845,970883,3872177,203300,1660226,385866,2180064,12886742,803439,140934,2374498,2009968,768621,1809982,507971
3,2014,1970357,605250,1420245,1121882,7584837,1482807,752232,274339,179278,4096202,2860369,279315,521357,4045608,2933541,1544275,1134920,1772796,4087136,416968,1398843,1433812,2882460,1923292,1159615,1905771,405408,870154,661968,312018,2351524,680421,3752515,2570546,644845,3834273,1685554,992956,3955081,204879,1642098,393982,2205494,12733681,800066,140498,2435984,2021410,781214,1887187,537554
4,2013,1933718,618287,1411591,1104570,7638003,1468349,754160,274261,174775,4059259,2792277,278467,528001,3974919,2895980,1521430,1102551,1823592,4056895,415649,1393684,1428265,2836290,1867763,1139863,1844894,406672,872746,659343,305280,2317278,670662,3626917,2537747,594918,3734502,1622927,996244,3828188,199075,1602238,390362,2137896,12723430,832657,137226,2417016,2045483,751405,1828843,540274
5,2012,1890045,651177,1394090,1072603,7549440,1441405,725747,273643,172813,4013772,2776792,277993,511607,3818052,2770593,1430775,1073583,1879922,4123205,404426,1368473,1364040,2687014,1826064,1144728,1780804,395970,853389,639066,285239,2249421,667297,3504433,2488292,553657,3658632,1563998,978245,3621551,183916,1567378,370842,2085371,11944734,791417,130720,2348180,2044291,730669,1733140,551135
6,2011,1916766,655820,1424223,1129108,7768794,1472721,740997,272754,183642,4129153,2994479,285580,518348,3938310,2849969,1500298,1103566,1919082,4259602,420743,1411381,1400310,2786791,1856922,1157889,1858790,403202,863554,633139,295370,2425249,670413,3615316,2569742,529637,3798275,1588072,1007805,3729272,185911,1611608,378971,2200767,11885388,795887,151927,2387547,2069319,738120,1792944,558021
7,2010,1942109,655575,1383847,1126984,7760676,1515571,767341,250321,190334,4277598,3110965,277125,519029,3955815,2866383,1501429,1116268,1992796,4258967,421949,1467051,1419173,2751881,1863087,1179994,1914784,402053,861617,646730,297207,2411758,652066,3728584,2695337,476718,3830947,1582375,981312,3756486,195504,1653892,379018,2251551,11681851,757821,156049,2491754,2042409,751374,1808493,541763
8,2009,1800022,639551,1379971,1041554,7774309,1465399,766416,259441,195103,4115011,2913738,275894,502503,3859018,2712732,1448322,1088191,1929419,4035422,413083,1455349,1375551,2690182,1786038,1111627,1842603,427046,778840,651321,297969,2372654,644506,3698530,2556866,435006,3666322,1492242,1012758,3625449,194840,1573632,363075,2084442,10883320,742220,156678,2429308,2031298,706183,1763916,524112
9,2008,2002425,650286,1465317,1109695,8075576,1487542,774576,291534,186833,4265319,2946751,276444,537344,4077423,2916022,1441115,1113937,2007247,4227032,455297,1466627,1435846,2914767,1911161,1165658,1947954,456678,795353,697145,301443,2594341,677369,3873097,2698637,443699,3998405,1581494,1046619,3940341,194315,1637749,353290,2283214,11251973,768023,146366,2544421,2041217,776191,1894497,538334
10,2007,2085235,722978,1497716,1128237,8260040,1483728,841984,293707,194920,4416962,3078111,337594,541340,4073291,2956935,1377763,1156711,2042882,4285419,450244,1505828,1457967,3021652,1894098,1224549,1984369,469893,757048,732978,309038,2666397,715359,3955435,2686093,437194,4047281,1571276,1061979,3960358,198296,1670755,330556,2343999,11774259,780947,154782,2642956,2048782,789736,1901625,523564
11,2006,2102014,746273,1471166,1114543,8289269,1431970,810221,288565,182510,4433346,3088790,327116,524107,3967074,2891926,1301152,1077557,1972905,4230829,450725,1470967,1419728,3025532,1831733,1212369,1932557,439103,709964,739691,306183,2533435,686974,3829396,2622040,414433,3869471,1555092,1071726,3883800,198412,1677452,306930,2314365,11864993,778574,156465,2566729,2055701,760598,1876662,480339
