,Year,TETCB_US,PATCB_US,CLTCB_US,NGTCB_US
0,2017,97621515,37460913,13839632,28110959
1,2016,97230097,37118383,14227138,28452762
2,2015,97364113,36748622,15548985,28241055
3,2014,98267257,35978447,17996577,27438655
4,2013,97099401,35703525,18038771,26844986
5,2012,94367771,35017836,17380923,26138351
6,2011,96852601,35803837,19663856,25014983
7,2010,97515551,36430384,20828382,24633507
8,2009,93965172,35748552,19691342,23487297
9,2008,98724712,37591231,22382816,23898175
10,2007,100870038,39952373,22747914,23735125
11,2006,99354258,40195949,22444214,22292657
12,2005,100097668,40562424,22793450,22631800
13,2004,100010334,40441691,22464302,22988315
14,2003,97833112,38946820,22322634,22891393
15,2002,97540330,38293336,21902852,23582195
16,2001,96037904,38231372,21906355,22835551
17,2000,98694694,38293215,22575538,23907237
18,1999,96525795,37855980,21582103,23025697
19,1998,94933435,36838689,21583324,23015631
20,1997,94656462,36172956,21443603,23477148
21,1996,94005089,35674458,21002157,23262444
22,1995,90994772,34459757,20098843,22832593
23,1994,89010843,34564117,19903559,21870095
24,1993,87294876,33686553,19836126,21376406
25,1992,85731655,33468926,19117802,20843610
26,1991,84379011,32790251,18989140,20147768
27,1990,84455290,33500896,19167682,19752485
28,1989,84731901,34164741,19055165,19715929
29,1988,82711222,34173609,18885663,18562882
30,1987,78960216,32818384,17949877,17749685
31,1986,76592009,32150914,17240884,16718431
32,1985,76406632,30867287,17540071,17843043
33,1984,76510942,30993084,17013578,18502834
34,1983,72879382,29997230,15867060,17347750
35,1982,73006442,30179893,15269049,18515242
36,1981,76093930,31884384,15937724,19928435
37,1980,78047744,34159758,15460982,20383954
38,1979,80836123,37075951,15041652,20687615
39,1978,79978066,37919119,13769684,20067662
40,1977,77946963,37082642,13907111,19972477
41,1976,75966653,35141985,13575890,20381227
42,1975,71953031,32698781,12655613,19977076
43,1974,73914525,33420613,12651009,21729561
44,1973,75723857,34806025,12960121,22595346
45,1972,72677208,32919160,12109530,22682497
46,1971,69163993,30541454,11603202,22365248
47,1970,67720114,29500112,12268895,21692710
48,1969,65578920,28321627,12383168,20657964
49,1968,62401694,26964864,12337535,19204569
50,1967,58916870,25272517,11917043,17964988
51,1966,56960904,24334435,12145291,17005781
52,1965,53965864,23183963,11582398,15779457
53,1964,51766732,22240249,10967543,15297642
54,1963,49605630,21644489,10414512,14419107
55,1962,47773067,20997481,9904585,13730841
56,1961,45684153,20168040,9618013,12926392
57,1960,45033606,19873652,9830513,12385366
